Date,id,Lesson,Grade,Тема
2022-04-27,ffc95ac7-c90f-4a3c-b8f1-b77f81b3209e,True,10,ОСНОВИ ТЕРМОДИНАМІКИ
2022-04-27,7de328f4-fdff-4184-8034-983e1fd6b002,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
2022-05-02,a10cbf59-872b-45a7-8e76-83be3e5151b4,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
2022-05-04,d9cf51e1-87ac-433d-8a8c-60aff09acb27,True,10,ОСНОВИ ЕЛЕКТРОСТАТИКИ (14 год.)
2022-05-09,b32ba3d0-cb72-4a79-a19d-e359da35807f,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
2022-05-11,832e0837-26b3-4ab1-a5ce-847fb2978246,True,10,ОСНОВИ ЕЛЕКТРОСТАТИКИ (14 год.)
2022-05-11,949cb2aa-521a-4859-b11f-08f5836e0109,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
2022-05-13,0b9f8f53-5197-4b4e-9c88-fb3175374a31,True,10,ОСНОВИ ЕЛЕКТРОСТАТИКИ (14 год.)
2022-05-16,f2cd32d8-79c6-40f1-9e0e-728dca8b704c,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
2022-05-18,b17eb515-b0ca-4ad0-af3b-11ef654f0503,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
2022-05-20,91e2ac00-7c4c-4a25-819b-e009fba18776,True,10,ОСНОВИ ЕЛЕКТРОСТАТИКИ (14 год.)
2022-05-23,434b823d-b75c-4cdd-bdef-10182b34f4f5,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
2022-05-25,76ed0021-8e46-4cf0-994e-a0712547e1db,True,8,ЕЛЕКТРИЧНИЙ СТРУМ  У  СЕРЕДОВИЩАХ
2022-05-25,8a2f584f-2d07-4a0e-9bdc-db13a9cfcf44,True,10,ОСНОВИ ЕЛЕКТРОСТАТИКИ (14 год.)
2022-05-27,25d13cad-3d4e-4c69-82b6-ae49bf46c54f,True,10,ОСНОВИ ЕЛЕКТРОСТАТИКИ (14 год.)
2022-09-02,f246a2cb-ffdf-403a-a9e7-45d1be7ab23a,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-05,bd535c65-4783-4637-8e1a-13c91a9da602,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-07,eda14626-ebd6-406f-a859-eba71fafefdc,True,9,МАГНІТНІ ЯВИЩА
2022-09-07,45e7cd68-1283-4a65-aed5-741c290d61dd,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-09,f3cba6e0-7461-4030-8d3b-a3f2d0c2565d,True,9,МАГНІТНІ ЯВИЩА
2022-09-12,88245022-436b-4237-bc32-8d0b8690affe,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-14,da475c83-b0c2-4513-9c33-d172e5ec591b,False,9,МАГНІТНІ ЯВИЩА
2022-09-16,ed7b8703-d6c6-42f6-bc8c-76cf6a317114,True,9,МАГНІТНІ ЯВИЩА
2022-09-16,0d605b6a-d9fd-4660-9f0e-3f07c1b0f680,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-19,b9f1ef40-965a-432b-9d88-ad55ed138d88,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-21,22386c45-dba3-4d5a-8353-a1698f37b252,True,9,МАГНІТНІ ЯВИЩА
2022-09-21,f0acd9ea-6e68-4ea5-b2f6-6a4d3575e6e5,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-23,7d1c6dbf-3362-43b6-b4de-8d076b2e9f1a,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-23,bdf51e0a-74e5-42c2-b18f-149b59e38461,True,9,МАГНІТНІ ЯВИЩА
2022-09-26,65c9fe4e-3283-4a49-bcb8-9130ba5de5ee,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
2022-09-28,1cb3c052-8df9-4c29-8984-c1af98ed0ad7,True,11,ЕЛЕКТРОДИНАМІКА. Частина І. ПОСТІЙНИЙ ЕЛЕКТРИЧНИЙ СТРУМ
